id,name,description,region,city,distance,images,tags,location,created_at,category
02327ceb-e29b-4d7e-8904-dd4c8f1c7944,Bishoftu Town Crater Lake City Circuit,Urban resort center situated around five volcanic crater lakes.,Oromia,Bishoftu,,[],"[""bishoftu"",""crater-lake-city"",""resort-town""]","{""lat"":8.750004,""lng"":38.981734}",2026-07-27 22:07:25.776912+00,urban
0255ec62-2fd1-40be-ac57-209276df35e9,Massacre Memorial of Wondo Genet,Historical memorial site.,,,,[],"[""wondo-genet"",""massacre-memorial"",""historic""]",,2026-07-27 22:07:25.776912+00,dark
02890b20-0688-473d-98ed-09a1e4d3a042,Bishoftu Natural Hot Springs Wellness Retreats,Natural thermal mineral water retreats dedicated to therapeutic bathing.,Oromia,Bishoftu,,[],"[""hot-springs"",""wellness"",""bishoftu""]","{""lat"":8.750004,""lng"":38.981734}",2026-07-27 22:07:25.776912+00,wellness
02c8223e-334d-47e5-b354-7fca28aada4f,Sheka Forest Biosphere Reserve,UNESCO Biosphere Reserve protecting southwestern montane rainforests.,,,,[],"[""sheka"",""biosphere"",""rainforest""]",,2026-07-27 22:07:25.776912+00,ecotourism
032ca2c4-2e8c-4a0f-9b3e-0df565405328,Battlefield of Dogali Memorial Monument,Historical monument commemorating Ras Alula victory over Italian forces in 1887.,,,,[],"[""dogali"",""memorial-monument"",""history""]",,2026-07-27 22:07:25.776912+00,dark
037f40de-3fe9-4a23-9b9e-bf17b49de895,Bebeka Coffee Estate,"The largest single coffee plantation in Ethiopia spanning over 10,000 hectares.",,,,[],"[""bebeka"",""largest-coffee-estate"",""bench-maji""]",,2026-07-27 22:07:25.776912+00,agritourism
0383471e-05bb-422a-872c-430f3ecf90b0,Bob Marley Statue & Imperial Square,Statue and public square celebrating Rastafarian and Pan-African pop culture.,,,,[],"[""bob-marley"",""statue"",""pan-african-culture""]",,2026-07-27 22:07:25.776912+00,ancestry
039c265c-7824-4623-8e6a-455de2877896,Grand Palace Hotel Meeting Rooms,Business meeting rooms located near government districts.,,,,[],"[""grand-palace"",""meeting-rooms"",""addis""]",,2026-07-27 22:07:25.776912+00,business
03a350a1-6dbb-4dcb-a64a-20c725d254b9,Gondar City Center & Imperial Precincts,Historic urban center built around 17th-century royal castles.,Amhara,Gonder,,[],"[""gondar"",""piazza"",""imperial-precincts""]","{""lat"":12.610368,""lng"":37.466766}",2026-07-27 22:07:25.776912+00,urban
03b49d09-289b-46f3-a0a6-911ce7e8b65c,Chebera Churchura National Park,"Pristine wilderness park featuring dense forests, springs, and wild elephants.",South West Ethiopia Peoples,,,[],"[""chebera-churchura"",""elephants"",""national-park""]","{""lat"":6.9042595,""lng"":36.7301591}",2026-07-27 22:07:25.776912+00,ecotourism
03fdc7fc-8467-46cf-a763-6e088fde3e14,Dembel City Center Ramp Outlets,Commercial center equipped with access ramps and lifts.,,,,[],"[""dembel"",""ramps"",""city-center""]",,2026-07-27 22:07:25.776912+00,accessible
03fee98a-a4f1-406e-ac0b-2db9aa5a2915,Mizan Teferi Agro-Forestry Training Projects,Volunteer training centers teaching sustainable rainforest farming techniques.,,,,[],"[""mizan-teferi"",""agro-forestry"",""training""]",,2026-07-27 22:07:25.776912+00,voluntourism
042b6c47-eb1e-4060-b3ae-61f66693e65e,Debre Libanos Monastery (Shewa),Historic monastery north of Addis Ababa; major pilgrimage site with dramatic canyon views.,Oromia,Debre Libanos,110,"[""https://images.unsplash.com/photo-1547036967-23d11aacaee0?w=1200&q=80""]","[""Monastery"",""Pilgrimage"",""Historic"",""Orthodox""]","{""lat"":9.717,""lng"":38.833}",2025-12-08 02:04:50.339394+00,religious
04bb43b1-4136-46a9-923e-e6eb3baaa15d,Debre Libanos Historic Monastery Grounds,The major historical center of Ethiopian Orthodox monasticism.,Oromia,Debre Libanos,,[],"[""debre-libanos"",""st-tekle-haymanot"",""monastic-history""]","{""lat"":9.7295697,""lng"":38.8167682}",2026-07-27 22:07:25.776912+00,ancestry
04c8c45f-4738-457f-bf20-218105ff3170,Kambaata Highland Agriculture Terraces,Densely cultivated terraced hillsides growing root crops and coffee.,Central Ethiopia Regional State,,,[],"[""kambaata"",""terraced-farms"",""durame""]","{""lat"":7.5,""lng"":37.75}",2026-07-27 22:07:25.776912+00,agritourism
04ea15b4-829e-4e66-9db0-208eb90ce212,Chencha Dorze Public Bamboo Trail,Low-cost public walking paths through bamboo highlands.,South Ethiopia Regional State,Chencha,,[],"[""chencha"",""dorze"",""bamboo-trail""]","{""lat"":6.251095,""lng"":37.572946}",2026-07-27 22:07:25.776912+00,budget
051f97af-5ce3-4bb0-853a-7c6ae6c5903b,Jan Meda Public Park,Sprawling public open field accessible for free recreation.,Addis Ababa,Gulale,,[],"[""jan-meda"",""public-grounds"",""addis""]","{""lat"":9.0466103,""lng"":38.7687405}",2026-07-27 22:07:25.776912+00,budget
055d7202-aec8-4194-afdf-f775c86e4cd5,Harari Rural Farming Outskirts,Agricultural hamlets surrounding Harar producing coffee and khat.,,,,[],"[""harari"",""rural-outskirts"",""khat-farms""]",,2026-07-27 22:07:25.776912+00,rural
0561e3f5-fc79-4bc0-a204-848d49c202f8,Senkele Hartebeest Sanctuary Conservation Base,Wildlife volunteer base supporting anti-poaching patrol and habitat mapping.,Oromia,Wajira Hudo,,[],"[""senkele"",""hartebeest"",""sanctuary-volunteer""]","{""lat"":7.167028,""lng"":38.2930673}",2026-07-27 22:07:25.776912+00,voluntourism
0562a30c-63b6-4c1a-9d52-8cc443b9d1f1,Kuriftu Resort & Spa Lakefront Luxury,Premier luxury resort situated where Lake Tana meets the Blue Nile.,Oromia,Bishoftu,,[],"[""kuriftu"",""lakefront-luxury"",""bahir-dar""]","{""lat"":8.7789777,""lng"":39.0004021}",2026-07-27 22:07:25.776912+00,luxury
0576571c-aa6c-4d55-9f83-39ad11d50442,Axum Stelae Artisans Market,Artisan market specialized in carved stone obelisk replicas and silver crosses.,Tigray,Axum,,[],"[""axum"",""artisans"",""crosses""]","{""lat"":14.1220982,""lng"":38.7321749}",2026-07-27 22:07:25.776912+00,shopping
0601c42b-9a91-41fe-a460-4708f4d35127,Gura Dhamole Rural Belt,Remote lowland rural belt in southeastern Bale.,,,,[],"[""gura-dhamole"",""bale"",""rural-belt""]",,2026-07-27 22:07:25.776912+00,rural
0621462d-39b6-421d-93c2-36425fc9ba8c,Gotera & Sarbet Metropolitan Belts,Rapidly developing urban residential and commercial thoroughfares.,,,,[],"[""gotera"",""sarbet"",""metropolitan""]",,2026-07-27 22:07:25.776912+00,urban
06546a02-bb0a-491b-8fa5-4c3ecb590753,Marriott Executive Apartments Sauna & Wellness,Executive health center featuring sauna and steam facilities.,Addis Ababa,Kirkos,,[],"[""marriott"",""sauna-wellness"",""addis""]","{""lat"":9.010443,""lng"":38.7651132}",2026-07-27 22:07:25.776912+00,wellness
065fbdd8-f6fe-4fd6-ade7-38b70500f4f3,Jinka Saturday Tribal Market,Regional weekly market where various Omo Valley ethnic groups trade crafts.,South Ethiopia Regional State,Jinka,,[],"[""jinka"",""tribal-market"",""south-omo""]","{""lat"":5.786181,""lng"":36.5654425}",2026-07-27 22:07:25.776912+00,shopping
06692b34-d8e7-4a29-bf58-74a899324989,Mekelle Relief & Rehabilitation Projects,Community relief centers offering humanitarian volunteer opportunities.,,,,[],"[""mekelle"",""rehabilitation"",""humanitarian""]",,2026-07-27 22:07:25.776912+00,voluntourism
06929243-25f5-4b7f-818e-6770c4fd6500,Gofa Cultural Highlands,Highland settlements displaying unique Gofa cultural practices.,,,,[],"[""gofa"",""sawla"",""highlands""]",,2026-07-27 22:07:25.776912+00,cultural
069a3989-4cef-4a1f-9d1b-4adee39e6660,Science Museum Complex,High-tech facility constructed with full wheelchair accessibility and lifts.,Addis Ababa,Kirkos,,[],"[""science-museum"",""accessible"",""elevators""]","{""lat"":9.0211333,""lng"":38.7622597}",2026-07-27 22:07:25.776912+00,accessible
06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc,Grand Royal Hotel Conference Center,Hotel event venue catering to corporate workshops.,,,,[],"[""grand-royal"",""conference"",""bishoftu""]",,2026-07-27 22:07:25.776912+00,business
06f3b178-5219-4a8e-b9b5-be91e7219175,Mount Chilalo Stargazing Ridge,Elevated ridge platform providing clear night sky conditions.,Oromia,Asella,,[],"[""mount-chilalo"",""stargazing"",""arsi""]","{""lat"":7.9150565,""lng"":39.2620904}",2026-07-27 22:07:25.776912+00,space
06f6cccf-3b0c-4514-aac1-11d5c4531468,Wolayta Sodo Cultural Handicrafts Center,Craft center famous for traditional woven cloths and glazed pottery.,South Ethiopia Regional State,Wolaita Sodo,,[],"[""wolayta-sodo"",""cultural-handicrafts"",""pottery""]","{""lat"":6.8577533,""lng"":37.7578499}",2026-07-27 22:07:25.776912+00,shopping
0719dd1e-6986-49b7-b092-400e2548dfc5,Inter Luxury Hotel Conference Suites,Multi-functional event halls in central Addis Ababa.,,,,[],"[""inter-luxury"",""conference-suites"",""addis""]",,2026-07-27 22:07:25.776912+00,business
07384a8f-5e47-43e5-af76-0ed738a4f7f6,Kenenisa Hotel & High-Altitude Sports Complex,Athletic training complex developed by Olympic champion Kenenisa Bekele.,,,,[],"[""kenenisa-bekele"",""bekoji"",""sports-complex""]",,2026-07-27 22:07:25.776912+00,sports
073a802a-e42d-4440-89ba-36dffc6bc0f1,Sodere Resort Convention Center,Resort event venue paired with thermal spring leisure.,Oromia,Sodere,,[],"[""sodere"",""convention-center"",""resort""]","{""lat"":8.4034494,""lng"":39.3869748}",2026-07-27 22:07:25.776912+00,business
07732b82-a311-40cc-b641-f0118bb25bce,Raya Azebo Farming Communities,Agrarian villages nestled between highland mountain ranges.,Afar,,,[],"[""raya-azebo"",""farming-communities"",""mohoni""]","{""lat"":12.66667,""lng"":40.33333}",2026-07-27 22:07:25.776912+00,rural
079c543b-0632-403a-a752-7f7b63cd0037,Awi Agew Honey Wine Houses,Highland taverns serving pure Tej brewed from local forest honey.,,,,[],"[""awi"",""agew"",""honey-wine""]",,2026-07-27 22:07:25.776912+00,culinary
07e3c3e0-9588-41e5-a2b6-5865142da6e2,Debre Marqos Cathedral,Historic central church and religious hub in East Gojjam.,,,,[],"[""cathedral"",""debre-markos"",""gojjam""]",,2026-07-27 22:07:25.776912+00,religious
07e446b5-5b4a-4f84-bf73-d43ac8c07f2a,Yabello Desert Off-Road Trek,Overland desert trek exploring the semi-arid bush of Yabello.,Oromia,Yabēlo,,[],"[""off-road"",""desert"",""borena""]","{""lat"":4.8888074,""lng"":38.109828}",2026-07-27 22:07:25.776912+00,adventure
08169283-0ecd-4fee-be90-3e80c16fb6f2,Senkele Swaynes Hartebeest Sanctuary,Open savannah sanctuary protecting the endangered Swaynes Hartebeest.,Oromia,Wajira Hudo,,[],"[""senkele"",""hartebeest"",""sanctuary""]","{""lat"":7.167028,""lng"":38.2930673}",2026-07-27 22:07:25.776912+00,ecotourism
081c2f68-7301-4e19-abf1-472b6b05f4b5,Woldiya Public Town Hillside,Public hillside walking paths with regional views.,Amhara,Woldia,,[],"[""woldiya"",""town-hillside"",""public""]","{""lat"":11.8342096,""lng"":39.6056115}",2026-07-27 22:07:25.776912+00,budget
084c39db-ea06-4008-9c00-26f7361f4330,Wolayta Sodo Highland Hamlets,Picturesque highland agricultural villages.,South Ethiopia Regional State,Wolaita Sodo,,[],"[""wolayta"",""sodo"",""highland-hamlets""]","{""lat"":6.8577533,""lng"":37.7578499}",2026-07-27 22:07:25.776912+00,rural
0873ce73-8dbd-4d59-a980-c8e5973b4de3,Hilton Addis Ababa Ballrooms & Grounds,Established business venue with extensive meeting rooms and outdoor spaces.,Addis Ababa,Kirkos,,[],"[""hilton"",""ballroom"",""meetings""]","{""lat"":9.0187247,""lng"":38.7650277}",2026-07-27 22:07:25.776912+00,business
08e88666-1276-403b-972c-a82a3cedd23e,Dallol Sulfur Springs,"Unmatched fluorescent yellow, green, and orange hydrothermal salt formations.",Afar,,,[],"[""dallol"",""vibrant-colors"",""landscape-photography""]","{""lat"":14.2424728,""lng"":40.2996919}",2026-07-27 22:07:25.776912+00,photography
0904c198-522d-4eae-909c-1a03548e3123,Getu Commercial Center,Multi-level commercial shopping complex on Bole Road.,Addis Ababa,Kirkos,,[],"[""getu-commercial"",""bole-road"",""retail""]","{""lat"":9.0023504,""lng"":38.7695919}",2026-07-27 22:07:25.776912+00,shopping
098a3ef4-e0f9-4680-a0a3-531cd2363b7c,Sor River Canopy (Rainforest Avifauna),Lush canopy trail ideal for viewing southwestern rainforest birds.,,,,[],"[""avifauna"",""sor-river"",""rainforest""]",,2026-07-27 22:07:25.776912+00,wildlife
099a81af-e0f6-4c9a-acb4-46edb6f64952,Petros and Paulos Monastery,"Rock-hewn monastery in Gheralta, accessible via challenging climb, featuring ancient frescoes.",Tigray,Gheralta,780,"[""https://images.unsplash.com/photo-1585208798174-6cedd86e019a?w=800"",""https://images.unsplash.com/photo-1605106901227-991bd663255c?w=800""]","[""Monastery"",""Rock-Hewn"",""Gheralta"",""Frescoes"",""Orthodox""]","{""lat"":13.9,""lng"":39.18}",2025-12-08 05:10:50.501803+00,religious
09c323bd-9d34-4fda-ac2f-15bce647102c,"Lalibela Rock-Hewn Churches (Bete Giyorgis, etc.)",World-famous 12th-century monolithic rock-hewn churches.,Amhara,Lalibela,,[],"[""lalibela"",""unesco"",""rock-churches""]","{""lat"":12.0360639,""lng"":39.0456845}",2026-07-27 22:07:25.776912+00,religious
09cf80ad-8f11-4213-860c-c391cac7c1e4,Guji Gold & Pastoralist Villages,Rural settlements blending traditional cattle pastoralism and artisanal mining.,,,,[],"[""guji"",""gold"",""pastoralist""]",,2026-07-27 22:07:25.776912+00,rural
09e458fc-9121-48c5-ab82-0a2d127ef57a,Wolayta Sodo Urban Center,Densely populated commercial hub of the Wolayta zone.,South Ethiopia Regional State,Wolaita Sodo,,[],"[""sodo"",""wolayta"",""urban-center""]","{""lat"":6.8577533,""lng"":37.7578499}",2026-07-27 22:07:25.776912+00,urban
0a100234-8028-4018-86a7-c3803711309e,Dire Dawa Date Palm Orchards,Lowland agro-farms specialized in date palm cultivation.,Dire Dawa,Dire Dawa,,[],"[""dire-dawa"",""date-palms"",""orchards""]","{""lat"":9.5913368,""lng"":41.8566126}",2026-07-27 22:07:25.776912+00,agritourism
0a20e07d-73dd-4284-ae5b-b631cc2cc559,Halala Kella Lodge Retreat & Spa,Luxury lakefront retreat featuring peaceful spa facilities.,,,,[],"[""halala-kella"",""retreat-spa"",""koysha""]",,2026-07-27 22:07:25.776912+00,wellness
0a2a2811-9f5b-4f9a-8074-5e180fd06d45,Dek Island Ferry Terminal,Central ferry dock on the largest island in Lake Tana.,Amhara,,,[],"[""dek-island"",""ferry-terminal"",""lake-tana""]","{""lat"":11.91667,""lng"":37.26667}",2026-07-27 22:07:25.776912+00,cruise
0a56edc3-e173-4766-863d-d602923659eb,Abebe Bikila Stadium Accessible Seating Gate,Designated step-free stadium entry gates.,,,,[],"[""abebe-bikila-stadium"",""accessible-gate"",""sports""]",,2026-07-27 22:07:25.776912+00,accessible
0a71af5a-b80e-43bd-91dd-060ce654e2b5,Woldiya Community Health Centers,Regional healthcare volunteer placements.,Amhara,Woldia,,[],"[""woldiya"",""community-health"",""volunteering""]","{""lat"":11.8342096,""lng"":39.6056115}",2026-07-27 22:07:25.776912+00,voluntourism
0a85ecd4-5c50-4860-b012-f6780d7ed2d3,Omo National Park (Big Game Safari),Remote national park hosting diverse savannah wildlife.,,,,[],"[""omo"",""big-game"",""safari""]",,2026-07-27 22:07:25.776912+00,wildlife
0b2fc774-3a9b-4d36-8179-10da157097ac,Limalimo Lodge,Award-winning luxury eco-lodge perched on the escarpment of Simien Mountains.,Amhara,Debebahir,,[],"[""limalimo"",""simien-mountains"",""luxury-eco-lodge""]","{""lat"":13.1979701,""lng"":37.8963243}",2026-07-27 22:07:25.776912+00,luxury
0b323a29-7996-4f3d-b524-51210f902bdd,Youth & Sports Academy Complex,National sports academy facility for athletic development.,,,,[],"[""sports-academy"",""training"",""addis""]",,2026-07-27 22:07:25.776912+00,sports
0b7eda7d-dfb8-456d-b691-d6ce2890ed58,Jan Meda Racecourse & Sports Ground,Historic field hosting national cross-country running championships.,Addis Ababa,Gulale,,[],"[""jan-meda"",""cross-country"",""racecourse""]","{""lat"":9.0466103,""lng"":38.7687405}",2026-07-27 22:07:25.776912+00,sports
0b82fd83-fb1a-48cb-b8f4-141efbd9cac2,Lake Ashenge Boating Shore,Highland lake shore in southern Tigray offering boat access.,Tigray,Hashenge,,[],"[""ashenge"",""boating"",""tigray""]","{""lat"":12.5793136,""lng"":39.5015961}",2026-07-27 22:07:25.776912+00,cruise
0bb81add-f212-4fa1-a84c-03ac54cb7b4e,Gura Dhamole Desert Night Sky Encampment,Remote desert camp offering clear stargazing.,,,,[],"[""gura-dhamole"",""desert-encampment"",""dark-sky""]",,2026-07-27 22:07:25.776912+00,space
0beb83f4-243e-4161-8657-8f7ce8b4d268,Babile Elephant Sanctuary Bush Trekking,Guided wilderness bush tracking for native wild elephants.,,,,[],"[""bush-trekking"",""elephants"",""hararghe""]",,2026-07-27 22:07:25.776912+00,adventure
0bfc7ee8-ddd1-4b35-baa9-543a2a227862,Loleha High-End Eco-Lodge,Exclusive high-end eco-lodge overlooking the pristine waters of Wenchi Crater Lake.,,,,[],"[""loleha"",""eco-lodge"",""wenchi""]",,2026-07-27 22:07:25.776912+00,luxury
0bfd7934-abde-4fff-bd12-4a56358498a0,Ethio-Kenyan Border High-Altitude Cross-Country Trails,Challenging cross-country distance running terrain.,Oromia,Moyale,,[],"[""cross-country"",""moyale"",""high-altitude""]","{""lat"":3.5241898,""lng"":39.0512683}",2026-07-27 22:07:25.776912+00,sports
0c0a0214-76e4-480e-8291-7d97965501da,Tekeze Dam Lake Boating & Fishing Dock,Reservoir lake boating dock set amidst deep mountain gorges.,,,,[],"[""tekeze-dam"",""boating"",""dock""]",,2026-07-27 22:07:25.776912+00,cruise
0c0f9ce0-6896-4e41-a1fa-d5e3c229b28a,Gerbi Natural Hot Springs,Natural thermal water site used for local hydrotherapy.,Oromia,,,[],"[""hot-springs"",""gerbi"",""oromia""]","{""lat"":8.93278,""lng"":41.80361}",2026-07-27 22:07:25.776912+00,medical
0c1a1191-572e-4565-b33c-18646387bc44,Lake Hora Water Sports & Boating Pier,Lakeside pier for rowing and motorboat tours.,Oromia,Bishoftu,,[],"[""lake-hora"",""boating-pier"",""bishoftu""]","{""lat"":8.7549453,""lng"":38.9902682}",2026-07-27 22:07:25.776912+00,cruise
0c86b942-94ae-49d7-aee3-20c43cc50fe5,Capital Hotel & Spa Wellness Facilities,Comprehensive urban spa featuring hydrotherapy pools and fitness.,Addis Ababa,Bole,,[],"[""capital-hotel"",""wellness-facilities"",""addis""]","{""lat"":9.0134031,""lng"":38.7797654}",2026-07-27 22:07:25.776912+00,wellness
0cc86c22-d3a7-48d9-ac1a-1478f842b8ff,Dirre Sheikh Hussein Pilgrims Village,Rural holy village welcoming seasonal spiritual pilgrims.,,,,[],"[""sheikh-hussein"",""pilgrims-village"",""bale""]",,2026-07-27 22:07:25.776912+00,rural
0ce80aca-c141-4001-bc27-6c5a65e10179,Debre Damo Monastery,6th-century cliff-top monastery accessible only by rope climb; among Ethiopia’s oldest.,Tigray,Debre Damo,1010,"[""https://images.unsplash.com/photo-1605106901227-991bd663255c?w=1200&q=80""]","[""Monastery"",""Cliff-top"",""Historic"",""Orthodox""]","{""lat"":14.371,""lng"":39.32}",2025-12-08 02:04:50.339394+00,religious
0d1058d2-0ac5-4f62-904a-86b77a783a9f,Ethnological Museum,University museum equipped with ramps and elevator access across display floors.,Addis Ababa,Gulele,,[],"[""ethnological-museum"",""elevator-access"",""ramps""]","{""lat"":9.0469448,""lng"":38.7577717}",2026-07-27 22:07:25.776912+00,accessible
0d291d6c-0210-408b-87a8-fbc919f72dc5,Dembi Waterfall & Forest Sanctuary,Secluded waterfall surrounded by primary rainforest vegetation.,,,,[],"[""dembi-waterfall"",""sanctuary"",""kafa""]",,2026-07-27 22:07:25.776912+00,ecotourism
0db2f2ba-292b-4bfd-a534-f3bbcf855467,Tekeze River Canyon Trekking,Remote canyon trekking along the deep Tekeze river basin.,,,,[],"[""canyon"",""hiking"",""tekeze""]",,2026-07-27 22:07:25.776912+00,adventure
0deb4635-ec6e-41d1-95cf-f0b0d2389259,Haile Resort Hawassa Convention Center,Lakeside conference center hosting regional and international summits.,Sidama,Awasa,,[],"[""haile-resort"",""hawassa"",""convention""]","{""lat"":7.0795884,""lng"":38.479093899999995}",2026-07-27 22:07:25.776912+00,business
0e063698-9ba5-4022-b19f-818523281e33,Marriott Executive Apartments Luxury Penthouses,Luxury penthouses and long-stay executive serviced apartments.,Addis Ababa,Kirkos,,[],"[""marriott"",""penthouses"",""serviced-apartments""]","{""lat"":9.010443,""lng"":38.7651132}",2026-07-27 22:07:25.776912+00,luxury
0e43bad9-7f39-4795-be9d-01fd987acf85,Awash National Park Arid Ecosystem Research Outpost,Research station studying dryland ecology and pastoralist dynamics.,,,,[],"[""awash"",""arid-ecosystem"",""field-research""]",,2026-07-27 22:07:25.776912+00,educational
0e4d4519-15ac-4164-95ff-67610eea618a,Bishoftu Pyramids Resort Meeting Facilities,Lakeside workshop and retreat center.,,,,[],"[""pyramids-resort"",""meetings"",""bishoftu""]",,2026-07-27 22:07:25.776912+00,business
0e620435-6085-42a3-83a5-850fef257e71,Fincha Dam Lake Water Tours,Highland dam reservoir offering scenic lake boat trips.,Oromia,Finicha'a,,[],"[""fincha-dam"",""water-tours"",""wollega""]","{""lat"":9.5578092,""lng"":37.3662213}",2026-07-27 22:07:25.776912+00,cruise
0e95b8df-daa1-4410-a730-189befba6f99,Arba Minch Crocodile Ranch Trail Running Loop,Scenic trail running loop adjacent to Nechisar Park.,South Ethiopia Regional State,Arba Minch,,[],"[""arba-minch"",""trail-running"",""lake-view""]","{""lat"":6.029646199999999,""lng"":37.5918419}",2026-07-27 22:07:25.776912+00,sports
0f2b4014-1411-4d39-9d1f-ab7c9840a894,Gojjam Teff Farming Cooperatives,The heartland of white teff farming in East Gojjam.,,,,[],"[""gojjam"",""teff-cooperatives"",""debre-markos""]",,2026-07-27 22:07:25.776912+00,agritourism
0f3ec61a-c1a4-4baf-bfdc-6913b4805a5c,Yeha Village Public Walkway,Walkable historic village paths surrounding the Great Temple.,Tigray,,,[],"[""yeha"",""public-walkway"",""village-walk""]","{""lat"":14.25,""lng"":38.91667}",2026-07-27 22:07:25.776912+00,budget
0f49f40b-5d9b-48c8-900f-c01e75ff02c0,Addis Ababa City Center (Meskel Square & Imperial Zones),"The sprawling political, diplomatic, and commercial urban heart of Ethiopia.",Addis Ababa,Kirkos,,[],"[""meskel-square"",""addis-ababa"",""city-center""]","{""lat"":9.0102293,""lng"":38.7606309}",2026-07-27 22:07:25.776912+00,urban
0f779742-b201-49c7-858f-d1eadb6516b3,Lalibela Rock Churches,Twelfth-century rock-carved churches built as a New Jerusalem on African soil.,Amhara,Lalibela,,[],"[""lalibela"",""architectural-wonder"",""medieval-africa""]","{""lat"":12.0360639,""lng"":39.0456845}",2026-07-27 22:07:25.776912+00,ancestry
0f7c84bd-4645-4e2b-b0c8-c603b9a940b1,Entoto Mountain Zipline & Rope Course,High-altitude adventure ropes course and zipline above Addis Ababa.,,,,[],"[""zipline"",""rope-course"",""addis""]",,2026-07-27 22:07:25.776912+00,adventure
0fa2359e-59e0-4cb3-867c-b289e8e9a009,Silte Mixed Agro-Farms,"Highland farms producing pepper, grain, and livestock.",,,,[],"[""silte"",""mixed-farms"",""worabe""]",,2026-07-27 22:07:25.776912+00,agritourism
0fb928af-dda8-4f10-8883-ac29911ded6d,Ankober Escarpment Rift Valley Wall Views,"Dramatic 1,000-meter drop views over the Great Rift Valley floor.",Amhara,Ankober,,[],"[""ankober"",""escarpment-views"",""rift-valley""]","{""lat"":9.5911547,""lng"":39.7338213}",2026-07-27 22:07:25.776912+00,photography
0ff366be-2732-444c-bad4-160e65b47fb1,Lalibela Surrounding Highland Hamlets,Mountain farming villages accessible along rural trekking paths.,Amhara,Lalibela,,[],"[""lalibela"",""highland-hamlets"",""rural""]","{""lat"":12.0360639,""lng"":39.0456845}",2026-07-27 22:07:25.776912+00,rural
10428c4d-037c-4235-a04c-81eeedfcbb52,Jinka South Omo Health & Education Volunteer Base,Regional volunteer hub supporting mobile health clinics and tribal schools.,,,,[],"[""jinka"",""health-education"",""south-omo""]",,2026-07-27 22:07:25.776912+00,voluntourism
