id,name,geocode_status,resolution_level,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
06f6cccf-3b0c-4514-aac1-11d5c4531468,Wolayta Sodo Cultural Handicrafts Center,anchor,anchor,0.441,"wolayta sodo, Ethiopia",Wolaita Sodo,South Ethiopia Regional State,6.8577533,37.7578499,"Wolaita Sodo, Wolayita, South Ethiopia Regional State, 4620, Ethiopia",disabled,,,,,,False
0719dd1e-6986-49b7-b092-400e2548dfc5,Inter Luxury Hotel Conference Suites,anchor,anchor,0.72,"inter addis, Ethiopia",Bole,Addis Ababa,9.0060961,38.8111966,"Etab Inter medica, Egzabheraab To Mebrathail, Gerji, Bole, Addis Ababa, 2310, Ethiopia",disabled,,,,,,False
07384a8f-5e47-43e5-af76-0ed738a4f7f6,Kenenisa Hotel & High-Altitude Sports Complex,anchor,anchor,0.731,"kenenisa bekele, Ethiopia",Adama,Oromia,8.5544108,39.2610051,"Kenenisa Bekele Street, Adama, Oromia Region, 0408, Ethiopia",disabled,,,,,,False
073a802a-e42d-4440-89ba-36dffc6bc0f1,Sodere Resort Convention Center,anchor,anchor,0.749,"sodere, Ethiopia",Sodere,Oromia,8.4034494,39.3869748,"Sodere, East Shewa, Oromia Region, Ethiopia",disabled,,,,,,False
07732b82-a311-40cc-b641-f0118bb25bce,Raya Azebo Farming Communities,anchor,anchor,0.733,"raya azebo, Ethiopia",,Afar,12.66667,40.33333,"Raya Na Azebo Awraja, Zone 4, Afar Region, Ethiopia",disabled,,,,,,False
079c543b-0632-403a-a752-7f7b63cd0037,Awi Agew Honey Wine Houses,anchor,anchor,0.747,"agew, Ethiopia",Agew,Tigray,12.9232371,39.6054502,"Agew, Southern Tigray, Tigray, Ethiopia",disabled,,,,,,False
07e3c3e0-9588-41e5-a2b6-5865142da6e2,Debre Marqos Cathedral,anchor,anchor,0.72,"debre markos gojjam, Ethiopia",Debre Markos,Amhara,10.3060432,37.7354461,"Taf oil Ethiopia, Addis Ababa - Bahir Dar Road, دبري ماركوس, Debre Markos, Guzamn, East Gojjam, Amhara Region, Ethiopia",disabled,,,,,,False
07e446b5-5b4a-4f84-bf73-d43ac8c07f2a,Yabello Desert Off-Road Trek,anchor,anchor,0.731,"Yabello, Ethiopia",Yabēlo,Oromia,4.8888074,38.109828,"Karati to Yabello, Yabēlo, Borena, Oromia Region, Ethiopia",disabled,,,,,,False
08169283-0ecd-4fee-be90-3e80c16fb6f2,Senkele Swaynes Hartebeest Sanctuary,anchor,anchor,0.736,"sanctuary, Ethiopia",Wajira Hudo,Oromia,7.167028,38.2930673,"Senkelle Swayne’s Hartebeest sanctuary, Wajira Hudo, West Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
081c2f68-7301-4e19-abf1-472b6b05f4b5,Woldiya Public Town Hillside,anchor,anchor,0.72,"woldiya, Ethiopia",Woldia,Amhara,11.8342096,39.6056115,"Lal Hotel Woldiya, Mek'ele-Weldiya Road, Woldia, North Wollo Zone, Amhara Region, Ethiopia",disabled,,,,,,False
084c39db-ea06-4008-9c00-26f7361f4330,Wolayta Sodo Highland Hamlets,anchor,anchor,0.801,"sodo, Ethiopia",Wolaita Sodo,South Ethiopia Regional State,6.8577533,37.7578499,"Wolaita Sodo, Wolayita, South Ethiopia Regional State, 4620, Ethiopia",disabled,,,,,,False
0873ce73-8dbd-4d59-a980-c8e5973b4de3,Hilton Addis Ababa Ballrooms & Grounds,anchor,anchor,0.72,"hilton, Ethiopia",Kirkos,Addis Ababa,9.0187247,38.7650277,"Hilton Addis Ababa, Menelik II Avenue, Menahereya Kazanchis, Kirkos, Addis Ababa, 1164, Ethiopia",disabled,,,,,,False
08e88666-1276-403b-972c-a82a3cedd23e,Dallol Sulfur Springs,anchor,anchor,0.785,"dallol, Ethiopia",,Afar,14.2424728,40.2996919,"Dallol, Zone 2, Afar Region, Ethiopia",disabled,,,,,,False
0904c198-522d-4eae-909c-1a03548e3123,Getu Commercial Center,matched,exact,0.8,"Getu Commercial Center, Ethiopia",Kirkos,Addis Ababa,9.0023504,38.7695919,"Getu Commercial center, 990, Africa Avenue / Bole Road, Olympia, Kirkos, Addis Ababa, 1165, Ethiopia",disabled,,,,,,True
098a3ef4-e0f9-4680-a0a3-531cd2363b7c,Sor River Canopy (Rainforest Avifauna),anchor,anchor,0.733,"sor, Ethiopia",,Oromia,8.41667,35.75,"Sor Na Geba Awraja, Illubabor, Oromia Region, Ethiopia",disabled,,,,,,False
099a81af-e0f6-4c9a-acb4-46edb6f64952,Petros and Paulos Monastery,existing,,,,,,,,,disabled,,,,,,False
09c323bd-9d34-4fda-ac2f-15bce647102c,"Lalibela Rock-Hewn Churches (Bete Giyorgis, etc.)",anchor,anchor,0.752,"lalibela, Ethiopia",Lalibela,Amhara,12.0360639,39.0456845,"Lalibela, North Wollo Zone, Amhara Region, 6500, Ethiopia",disabled,,,,,,False
09cf80ad-8f11-4213-860c-c391cac7c1e4,Guji Gold & Pastoralist Villages,review,,0.34,"guji, Ethiopia",,Oromia,5.5501401,39.2030529,"Guji, Oromia Region, Ethiopia",disabled,,,,,,False
09e458fc-9121-48c5-ab82-0a2d127ef57a,Wolayta Sodo Urban Center,anchor,anchor,0.801,"sodo, Ethiopia",Wolaita Sodo,South Ethiopia Regional State,6.8577533,37.7578499,"Wolaita Sodo, Wolayita, South Ethiopia Regional State, 4620, Ethiopia",disabled,,,,,,False
0a100234-8028-4018-86a7-c3803711309e,Dire Dawa Date Palm Orchards,anchor,anchor,0.82,"dire dawa, Ethiopia",Dire Dawa,Dire Dawa,9.5913368,41.8566126,"Dire Dawa, Ethiopia",disabled,,,,,,False
0a20e07d-73dd-4284-ae5b-b631cc2cc559,Halala Kella Lodge Retreat & Spa,anchor,anchor,0.72,"spa, Ethiopia",Bole,Addis Ababa,9.0003176,38.7872056,"spa, BL_03_564, Ghiliffalegn Stream, Bole, Addis Ababa, 7966, Ethiopia",disabled,,,,,,False
0a2a2811-9f5b-4f9a-8074-5e180fd06d45,Dek Island Ferry Terminal,anchor,anchor,0.767,"dek, Ethiopia",,Amhara,11.91667,37.26667,"Dek Island, Amhara Region, Ethiopia",disabled,,,,,,False
0a56edc3-e173-4766-863d-d602923659eb,Abebe Bikila Stadium Accessible Seating Gate,anchor,anchor,0.72,"gate, Ethiopia",Fonko,Central Ethiopia Regional State,7.5587636,37.8846316,"Wachemo University Main Gate, B51, Fonko, Hadiya, Central Ethiopia Regional State, Ethiopia",disabled,,,,,,False
0a71af5a-b80e-43bd-91dd-060ce654e2b5,Woldiya Community Health Centers,anchor,anchor,0.72,"woldiya, Ethiopia",Woldia,Amhara,11.8342096,39.6056115,"Lal Hotel Woldiya, Mek'ele-Weldiya Road, Woldia, North Wollo Zone, Amhara Region, Ethiopia",disabled,,,,,,False
0a85ecd4-5c50-4860-b012-f6780d7ed2d3,Omo National Park (Big Game Safari),anchor,anchor,0.814,"omo, Ethiopia",,,5.9896518,36.0107174,"Omo River, Ethiopia",disabled,,,,,,False
0b2fc774-3a9b-4d36-8179-10da157097ac,Limalimo Lodge,matched,exact,0.8,"Limalimo Lodge, Ethiopia",Debebahir,Amhara,13.1979701,37.8963243,"Limalimo Lodge, B30, Debebahir, North Gondar, Amhara Region, Ethiopia",disabled,,,,,,True
0b323a29-7996-4f3d-b524-51210f902bdd,Youth & Sports Academy Complex,anchor,anchor,0.85,"addis, Ethiopia",Addis Ababa,Addis Ababa,9.0358119,38.7524315,"Addis Ababa, Arada, Addis Ababa, 3578, Ethiopia",disabled,,,,,,False
0b7eda7d-dfb8-456d-b691-d6ce2890ed58,Jan Meda Racecourse & Sports Ground,anchor,anchor,0.72,"jan meda, Ethiopia",Gulale,Addis Ababa,9.0466103,38.7687405,"Jan Meda, Angola Street, Gulale, Addis Ababa, 1176, Ethiopia",disabled,,,,,,False
0b82fd83-fb1a-48cb-b8f4-141efbd9cac2,Lake Ashenge Boating Shore,anchor,anchor,0.779,"ashenge tigray, Ethiopia",Hashenge,Tigray,12.5793136,39.5015961,"Lake Ashenge, Hashenge, Southern Tigray, Tigray, Ethiopia",disabled,,,,,,False
0bb81add-f212-4fa1-a84c-03ac54cb7b4e,Gura Dhamole Desert Night Sky Encampment,anchor,anchor,0.72,"sky, Ethiopia",Bole,Addis Ababa,8.9955205,38.7845968,"Sky Apartment, BL_03_644 Street, Ghiliffalegn Stream, Bole, Addis Ababa, 7966, Ethiopia",disabled,,,,,,False
0beb83f4-243e-4161-8657-8f7ce8b4d268,Babile Elephant Sanctuary Bush Trekking,anchor,anchor,0.72,"hararghe, Ethiopia",Dire Dawa,Dire Dawa,9.593829,41.862174,"Caritas Switzerland Hararghe Coordination Office NEW, Station Road South, Ye'Selam Adarash Mengist, Dire Dawa, Ethiopia",disabled,,,,,,False
0bfc7ee8-ddd1-4b35-baa9-543a2a227862,Loleha High-End Eco-Lodge,anchor,anchor,0.72,"eco, Ethiopia",Arada,Addis Ababa,9.0349152,38.7785822,"Halaba Eco Tour, 110, Comoros Street, Arada, Addis Ababa, 1176, Ethiopia",disabled,,,,,,False
0bfd7934-abde-4fff-bd12-4a56358498a0,Ethio-Kenyan Border High-Altitude Cross-Country Trails,anchor,anchor,0.808,"moyale, Ethiopia",Moyale,Oromia,3.5241898,39.0512683,"Moyale, Borena, Oromia Region, Ethiopia",disabled,,,,,,False
0c0a0214-76e4-480e-8291-7d97965501da,Tekeze Dam Lake Boating & Fishing Dock,review,,0.071,"tekeze dam, Ethiopia",,Tigray,13.3475448,38.7433002,"Tekezé, Central Tigray, Tigray, Ethiopia",disabled,,,,,,False
0c0f9ce0-6896-4e41-a1fa-d5e3c229b28a,Gerbi Natural Hot Springs,anchor,anchor,0.733,"gerbi oromia, Ethiopia",,Oromia,8.93278,41.80361,"Gerbi, East Harerghe, Oromia Region, Ethiopia",disabled,,,,,,False
0c1a1191-572e-4565-b33c-18646387bc44,Lake Hora Water Sports & Boating Pier,anchor,anchor,0.72,"hora bishoftu, Ethiopia",Bishoftu,Oromia,8.7549453,38.9902682,"Ethiopia Airforce Officer's Club, Hora street, Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
0c86b942-94ae-49d7-aee3-20c43cc50fe5,Capital Hotel & Spa Wellness Facilities,anchor,anchor,0.72,"capital addis, Ethiopia",Bole,Addis Ababa,9.0134031,38.7797654,"Capital Hotel & Spa, Haile Gebresellasie Avenue, Urael, Bole, Addis Ababa, 2332, Ethiopia",disabled,,,,,,False
0cc86c22-d3a7-48d9-ac1a-1478f842b8ff,Dirre Sheikh Hussein Pilgrims Village,anchor,anchor,0.752,"bale, Ethiopia",Bale,Oromia,7.7308591,39.9998827,"Bale, Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
0ce80aca-c141-4001-bc27-6c5a65e10179,Debre Damo Monastery,existing,,,,,,,,,disabled,,,,,,False
0d1058d2-0ac5-4f62-904a-86b77a783a9f,Ethnological Museum,review,,0.031,"Ethnological Museum, Ethiopia",Gulale,Addis Ababa,9.0467209,38.7576402,"Institute of Ethiopian Studies, Arada 6_1083 St., Sidist Kilo, Gulale, Addis Ababa, 1176, Ethiopia",disabled,,,,,,False
0d291d6c-0210-408b-87a8-fbc919f72dc5,Dembi Waterfall & Forest Sanctuary,anchor,anchor,0.749,"dembi, Ethiopia",Dembi,Oromia,8.08089,36.462738,"Dembi, Illubabor, Oromia Region, Ethiopia",disabled,,,,,,False
0db2f2ba-292b-4bfd-a534-f3bbcf855467,Tekeze River Canyon Trekking,anchor,anchor,0.749,"tekeze, Ethiopia",Tekeze,Amhara,11.8756797,38.9503039,"Tekeze, North Wollo Zone, Amhara Region, Ethiopia",disabled,,,,,,False
0deb4635-ec6e-41d1-95cf-f0b0d2389259,Haile Resort Hawassa Convention Center,anchor,anchor,0.808,"hawassa, Ethiopia",Hawassa,Sidama,7.0481029,38.47861,"Hawassa, Sidama, 1923, Ethiopia",disabled,,,,,,False
0e063698-9ba5-4022-b19f-818523281e33,Marriott Executive Apartments Luxury Penthouses,anchor,anchor,0.72,"marriott, Ethiopia",Kirkos,Addis Ababa,9.010443,38.7651132,"Marriott Executive Apartments, Jomo Kenyatta Avenue, Meshuwalekiya, Kirkos, Addis Ababa, 9568, Ethiopia",disabled,,,,,,False
0e43bad9-7f39-4795-be9d-01fd987acf85,Awash National Park Arid Ecosystem Research Outpost,anchor,anchor,0.813,"awash, Ethiopia",,,9.9749582,40.3904199,"Awash, Ethiopia",disabled,,,,,,False
0e4d4519-15ac-4164-95ff-67610eea618a,Bishoftu Pyramids Resort Meeting Facilities,anchor,anchor,0.808,"bishoftu, Ethiopia",Bishoftu,Oromia,8.750004,38.981734,"Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
0e620435-6085-42a3-83a5-850fef257e71,Fincha Dam Lake Water Tours,anchor,anchor,0.736,"fincha dam, Ethiopia",Finicha'a,Oromia,9.5578092,37.3662213,"Fincha Dam, Finicha'a, Horo Guduru, Oromia Region, Ethiopia",disabled,,,,,,False
0e95b8df-daa1-4410-a730-189befba6f99,Arba Minch Crocodile Ranch Trail Running Loop,anchor,anchor,0.804,"arba minch, Ethiopia",Arba Minch,South Ethiopia Regional State,6.0215142,37.5539809,"Arba Minch, Gamo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
0f2b4014-1411-4d39-9d1f-ab7c9840a894,Gojjam Teff Farming Cooperatives,anchor,anchor,0.733,"gojam, Ethiopia",Degan,Amhara,11.18333,39.9,"Gojam, Degan, South Wollo, Amhara Region, Ethiopia",disabled,,,,,,False
0f3ec61a-c1a4-4baf-bfdc-6913b4805a5c,Yeha Village Public Walkway,anchor,anchor,0.789,"yeha, Ethiopia",,Tigray,14.25,38.91667,"Yeha, Central Tigray, Tigray, Ethiopia",disabled,,,,,,False
0f49f40b-5d9b-48c8-900f-c01e75ff02c0,Addis Ababa City Center (Meskel Square & Imperial Zones),anchor,anchor,0.781,"meskel square addis ababa, Ethiopia",Kirkos,Addis Ababa,9.0102293,38.7606309,"Meskel Square, Meshuwalekiya, Kirkos, Addis Ababa, Ethiopia",disabled,,,,,,False
0f779742-b201-49c7-858f-d1eadb6516b3,Lalibela Rock Churches,anchor,anchor,0.752,"lalibela, Ethiopia",Lalibela,Amhara,12.0360639,39.0456845,"Lalibela, North Wollo Zone, Amhara Region, 6500, Ethiopia",disabled,,,,,,False
0f7c84bd-4645-4e2b-b0c8-c603b9a940b1,Entoto Mountain Zipline & Rope Course,anchor,anchor,0.85,"addis, Ethiopia",Addis Ababa,Addis Ababa,9.0358119,38.7524315,"Addis Ababa, Arada, Addis Ababa, 3578, Ethiopia",disabled,,,,,,False
0fa2359e-59e0-4cb3-867c-b289e8e9a009,Silte Mixed Agro-Farms,anchor,anchor,0.72,"silte, Ethiopia",Kolfe Keranio,Addis Ababa,8.9811975,38.6852742,"Silte Sefer, Jemma Street, Repi, Kolfe Keranio, Addis Ababa, 1061, Ethiopia",disabled,,,,,,False
0fb928af-dda8-4f10-8883-ac29911ded6d,Ankober Escarpment Rift Valley Wall Views,anchor,anchor,0.786,"ankober, Ethiopia",Ankober,Amhara,9.5911547,39.7338213,"Ankober, North Shewa (Amhara Region), Amhara Region, Ethiopia",disabled,,,,,,False
0ff366be-2732-444c-bad4-160e65b47fb1,Lalibela Surrounding Highland Hamlets,anchor,anchor,0.752,"lalibela, Ethiopia",Lalibela,Amhara,12.0360639,39.0456845,"Lalibela, North Wollo Zone, Amhara Region, 6500, Ethiopia",disabled,,,,,,False
10428c4d-037c-4235-a04c-81eeedfcbb52,Jinka South Omo Health & Education Volunteer Base,anchor,anchor,0.749,"jinka south omo, Ethiopia",,South Ethiopia Regional State,5.6783612,36.4016482,"Jinka Wenz, South Omo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
106667fc-ad59-4c8f-9c5f-52b2f5ae9284,Harar Jugol (Historic Walled City),existing,,,,,,,,,disabled,,,,,,False
1083c39b-85cc-457d-9a68-518fe138f7be,Addis Ababa Italian Occupation Fortifications,anchor,anchor,0.783,"entoto, Ethiopia",Sululta,Oromia,9.1080861,38.8193556,"Entoto, Sululta, North Shewa (Oromia Region), Oromia Region, Ethiopia",disabled,,,,,,False
10995a8c-f549-4261-9251-3c7e872b92b8,Argobba Heritage Villages,anchor,anchor,0.733,"argobba, Ethiopia",,Afar,9.5,39.95,"Argobba, Zone 3, Afar Region, Ethiopia",disabled,,,,,,False
